,date,balance
126,5/18/2005,801546
127,5/25/2005,810160
128,6/1/2005,817335
129,6/8/2005,814172
130,6/15/2005,811198
131,6/22/2005,810429
132,6/29/2005,810082
133,7/6/2005,821556
134,7/13/2005,808861
135,7/20/2005,816804
136,7/27/2005,814259
137,8/3/2005,818841
138,8/10/2005,808544
139,8/17/2005,813774
140,8/24/2005,811313
141,8/31/2005,823237
142,9/7/2005,822500
143,9/14/2005,823590
144,9/21/2005,812926
145,9/28/2005,823771
146,10/5/2005,817137
147,10/12/2005,826306
148,10/19/2005,814281
149,10/26/2005,819105
150,11/2/2005,814571
151,11/9/2005,824991
152,11/16/2005,823263
153,11/23/2005,833124
154,11/30/2005,835059
155,12/7/2005,833250
156,12/14/2005,830950
157,12/21/2005,848317
158,12/28/2005,847700
159,1/4/2006,851856
160,1/11/2006,829357
161,1/18/2006,836042
162,1/25/2006,828901
163,2/1/2006,831808
164,2/8/2006,827613
165,2/15/2006,835240
166,2/22/2006,840555
167,3/1/2006,839356
168,3/8/2006,839234
169,3/15/2006,843010
170,3/22/2006,838003
171,3/29/2006,833675
172,4/5/2006,834589
173,4/12/2006,836862
174,4/19/2006,836352
175,4/26/2006,844572
176,5/3/2006,843867
177,5/10/2006,838405
178,5/17/2006,838153
179,5/24/2006,840251
180,5/31/2006,851580
181,6/7/2006,849074
182,6/14/2006,845869
183,6/21/2006,844773
184,6/28/2006,844436
185,7/5/2006,851659
186,7/12/2006,844391
187,7/19/2006,849894
188,7/26/2006,841552
189,8/2/2006,850263
190,8/9/2006,840006
191,8/16/2006,842876
192,8/23/2006,837987
193,8/30/2006,850925
194,9/6/2006,848594
195,9/13/2006,840886
196,9/20/2006,838192
197,9/27/2006,849971
198,10/4/2006,842296
199,10/11/2006,859339
200,10/18/2006,844200
201,10/25/2006,852648
202,11/1/2006,855536
203,11/8/2006,858630
204,11/15/2006,855551
205,11/22/2006,865126
206,11/29/2006,856671
207,12/6/2006,862178
208,12/13/2006,853851
209,12/20/2006,865010
210,12/27/2006,869988
211,1/3/2007,874626
212,1/10/2007,854819
213,1/17/2007,859363
214,1/24/2007,851755
215,1/31/2007,865730
216,2/7/2007,855057
217,2/14/2007,867199
218,2/21/2007,869235
219,2/28/2007,877409
220,3/7/2007,864505
221,3/14/2007,876108
222,3/21/2007,863067
223,3/28/2007,869803
224,4/4/2007,862319
225,4/11/2007,865441
226,4/18/2007,861335
227,4/25/2007,879686
228,5/2/2007,890857
229,5/9/2007,875270
230,5/16/2007,859559
231,5/23/2007,873935
232,5/30/2007,876986
233,6/6/2007,872706
234,6/13/2007,864989
235,6/20/2007,866089
236,6/27/2007,865105
237,7/4/2007,876611
238,7/11/2007,869407
239,7/18/2007,872916
240,7/25/2007,863890
241,8/1/2007,870261
242,8/8/2007,865453
243,8/15/2007,864931
244,8/22/2007,862775
245,8/29/2007,872873
246,9/5/2007,871156
247,9/12/2007,886314
248,9/19/2007,867732
249,9/26/2007,889900
250,10/3/2007,869051
251,10/10/2007,886363
252,10/17/2007,869509
253,10/24/2007,881395
254,10/31/2007,883385
255,11/7/2007,885724
256,11/14/2007,889537
257,11/21/2007,891028
258,11/28/2007,879417
259,12/5/2007,882764
260,12/12/2007,881750
261,12/19/2007,887983
262,12/26/2007,890662
263,1/2/2008,922187
264,1/9/2008,880754
265,1/16/2008,893581
266,1/23/2008,877253
267,1/30/2008,900264
268,2/6/2008,871022
269,2/13/2008,883005
270,2/20/2008,878949
271,2/27/2008,893825
272,3/5/2008,881208
273,3/12/2008,896565
274,3/19/2008,888646
275,3/26/2008,893965
276,4/2/2008,883708
277,4/9/2008,893029
278,4/16/2008,881904
279,4/23/2008,885781
280,4/30/2008,888131
281,5/7/2008,889228
282,5/14/2008,880175
283,5/21/2008,898487
284,5/28/2008,904054
285,6/4/2008,895939
286,6/11/2008,890610
287,6/18/2008,902304
288,6/25/2008,892713
289,7/2/2008,902962
290,7/9/2008,898034
291,7/16/2008,910681
292,7/23/2008,899665
293,7/30/2008,918625
294,8/6/2008,901710
295,8/13/2008,914632
296,8/20/2008,898611
297,8/27/2008,909982
298,9/3/2008,905253
299,9/10/2008,925725
300,9/17/2008,995093
301,9/24/2008,1211825
302,10/1/2008,1503989
303,10/8/2008,1591587
304,10/15/2008,1770809
305,10/22/2008,1802602
306,10/29/2008,1969086
307,11/5/2008,2074205
308,11/12/2008,2212852
309,11/19/2008,2187137
310,11/26/2008,2106117
311,12/3/2008,2136924
312,12/10/2008,2250012
313,12/17/2008,2254983
314,12/24/2008,2232311
315,12/31/2008,2239457
316,1/7/2009,2121439
317,1/14/2009,2049714
318,1/21/2009,2037112
319,1/28/2009,1927082
320,2/4/2009,1851437
321,2/11/2009,1843400
322,2/18/2009,1915562
323,2/25/2009,1916115
324,3/4/2009,1901317
325,3/11/2009,1899514
326,3/18/2009,2066942
327,3/25/2009,2071556
328,4/1/2009,2078936
329,4/8/2009,2088573
330,4/15/2009,2186498
331,4/22/2009,2196812
332,4/29/2009,2066712
333,5/6/2009,2079758
334,5/13/2009,2196351
335,5/20/2009,2181632
336,5/27/2009,2080115
337,6/3/2009,2077695
338,6/10/2009,2052297
339,6/17/2009,2072527
340,6/24/2009,2025571
341,7/1/2009,2005627
342,7/8/2009,1992740
343,7/15/2009,2072451
344,7/22/2009,2039001
345,7/29/2009,2000547
346,8/5/2009,1989203
347,8/12/2009,2014899
348,8/19/2009,2060641
349,8/26/2009,2074902
350,9/2/2009,2083720
351,9/9/2009,2087946
352,9/16/2009,2139783
353,9/23/2009,2158631
354,9/30/2009,2141020
355,10/7/2009,2138086
356,10/14/2009,2192787
357,10/21/2009,2201119
358,10/28/2009,2161537
359,11/4/2009,2165067
360,11/11/2009,2135035
361,11/18/2009,2208721
362,11/25/2009,2206359
363,12/2/2009,2204074
364,12/9/2009,2186383
365,12/16/2009,2235763
366,12/23/2009,2235803
367,12/30/2009,2234067
368,1/6/2010,2235304
369,1/13/2010,2291700
370,1/20/2010,2251806
371,1/27/2010,2246886
372,2/3/2010,2249319
373,2/10/2010,2256679
374,2/17/2010,2277574
375,2/24/2010,2286127
376,3/3/2010,2280147
377,3/10/2010,2282474
378,3/17/2010,2307997
379,3/24/2010,2313149
380,3/31/2010,2307150
381,4/7/2010,2307575
382,4/14/2010,2339345
383,4/21/2010,2337556
384,4/28/2010,2330472
385,5/5/2010,2326164
386,5/12/2010,2336103
387,5/19/2010,2350890
388,5/26/2010,2334041
389,6/2/2010,2336216
390,6/9/2010,2331529
391,6/16/2010,2344316
392,6/23/2010,2344497
393,6/30/2010,2330851
394,7/7/2010,2332017
395,7/14/2010,2340717
396,7/21/2010,2332322
397,7/28/2010,2325298
398,8/4/2010,2326479
399,8/11/2010,2327533
400,8/18/2010,2313662
401,8/25/2010,2301015
402,9/1/2010,2301996
403,9/8/2010,2305802
404,9/15/2010,2296079
405,9/22/2010,2307171
406,9/29/2010,2298691
407,10/6/2010,2308092
408,10/13/2010,2309885
409,10/20/2010,2305227
410,10/27/2010,2295392
411,11/3/2010,2300353
412,11/10/2010,2312768
413,11/17/2010,2314757
414,11/24/2010,2346001
415,12/1/2010,2346920
416,12/8/2010,2382294
417,12/15/2010,2385754
418,12/22/2010,2427921
419,12/29/2010,2420570
420,1/5/2011,2436064
421,1/12/2011,2468131
422,1/19/2011,2425164
423,1/26/2011,2443527
424,2/2/2011,2469419
425,2/9/2011,2500481
426,2/16/2011,2508868
427,2/23/2011,2533221
428,3/2/2011,2545119
429,3/9/2011,2577076
430,3/16/2011,2583046
431,3/23/2011,2601341
432,3/30/2011,2622523
433,4/6/2011,2648676
434,4/13/2011,2665408
435,4/20/2011,2685782
436,4/27/2011,2690985
437,5/4/2011,2718757
438,5/11/2011,2744498
439,5/18/2011,2758009
440,5/25/2011,2774996
441,6/1/2011,2788723
442,6/8/2011,2811206
443,6/15/2011,2827549
444,6/22/2011,2856403
445,6/29/2011,2865251
446,7/6/2011,2870103
447,7/13/2011,2878074
448,7/20/2011,2871301
449,7/27/2011,2863576
450,8/3/2011,2867215
451,8/10/2011,2872423
452,8/17/2011,2857906
453,8/24/2011,2859433
454,8/31/2011,2853888
455,9/7/2011,2858660
456,9/14/2011,2863540
457,9/21/2011,2857747
458,9/28/2011,2850921
459,10/5/2011,2859701
460,10/12/2011,2860822
461,10/19/2011,2852390
462,10/26/2011,2845685
463,11/2/2011,2822034
464,11/9/2011,2839786
465,11/16/2011,2831576
466,11/23/2011,2821980
467,11/30/2011,2814235
468,12/7/2011,2820691
469,12/14/2011,2902488
470,12/21/2011,2916085
471,12/28/2011,2926095
472,1/4/2012,2917689
473,1/11/2012,2899149
474,1/18/2012,2919423
475,1/25/2012,2919545
476,2/1/2012,2924947
477,2/8/2012,2928275
478,2/15/2012,2937893
479,2/22/2012,2932813
480,2/29/2012,2925722
481,3/7/2012,2884747
482,3/14/2012,2893560
483,3/21/2012,2892646
484,3/28/2012,2878137
485,4/4/2012,2865478
486,4/11/2012,2867200
487,4/18/2012,2875470
488,4/25/2012,2866561
489,5/2/2012,2864280
490,5/9/2012,2864150
491,5/16/2012,2850984
492,5/23/2012,2859495
493,5/30/2012,2842654
494,6/6/2012,2852018
495,6/13/2012,2869071
496,6/20/2012,2870846
497,6/27/2012,2863547
498,7/4/2012,2865858
499,7/11/2012,2866279
500,7/18/2012,2855807
501,7/25/2012,2846757
502,8/1/2012,2851118
503,8/8/2012,2856181
504,8/15/2012,2833317
505,8/22/2012,2825661
506,8/29/2012,2812806
507,9/5/2012,2822169
508,9/12/2012,2823448
509,9/19/2012,2821574
510,9/26/2012,2804457
511,10/3/2012,2808512
512,10/10/2012,2811623
513,10/17/2012,2846920
514,10/24/2012,2840964
515,10/31/2012,2823137
516,11/7/2012,2830791
517,11/14/2012,2877244
518,11/21/2012,2871161
519,11/28/2012,2851362
520,12/5/2012,2859807
521,12/12/2012,2917260
522,12/19/2012,2920231
523,12/26/2012,2907300
524,1/2/2013,2917189
525,1/9/2013,2928728
526,1/16/2013,2963812
527,1/23/2013,3011697
528,1/30/2013,3008704
529,2/6/2013,3014975
530,2/13/2013,3074225
531,2/20/2013,3095150
532,2/27/2013,3090600
533,3/6/2013,3108805
534,3/13/2013,3165396
535,3/20/2013,3206888
536,3/27/2013,3202256
537,4/3/2013,3215432
538,4/10/2013,3227762
539,4/17/2013,3295109
540,4/24/2013,3318649
541,5/1/2013,3317194
542,5/8/2013,3324615
543,5/15/2013,3354269
544,5/22/2013,3398713
545,5/29/2013,3385128
546,6/5/2013,3400183
547,6/12/2013,3410842
548,6/19/2013,3470530
549,6/26/2013,3478672
550,7/3/2013,3492742
551,7/10/2013,3504095
552,7/17/2013,3537861
553,7/24/2013,3574574
554,7/31/2013,3571797
555,8/7/2013,3585359
556,8/14/2013,3646323
557,8/21/2013,3645668
558,8/28/2013,3644456
559,9/4/2013,3654182
560,9/11/2013,3662035
561,9/18/2013,3722192
562,9/25/2013,3734018
563,10/2/2013,3747387
564,10/9/2013,3758663
565,10/16/2013,3813599
566,10/23/2013,3839033
567,10/30/2013,3843396
568,11/6/2013,3851623
569,11/13/2013,3907424
570,11/20/2013,3906620
571,11/27/2013,3925876
572,12/4/2013,3932626
573,12/11/2013,3993955
574,12/18/2013,4008062
575,12/25/2013,4032575
576,1/1/2014,4023640
577,1/8/2014,4028185
578,1/15/2014,4071528
579,1/22/2014,4097914
580,1/29/2014,4102138
581,2/5/2014,4109285
582,2/12/2014,4119474
583,2/19/2014,4149224
584,2/26/2014,4159972
585,3/5/2014,4171762
586,3/12/2014,4181361
587,3/19/2014,4222081
588,3/26/2014,4226971
589,4/2/2014,4236441
590,4/9/2014,4244188
591,4/16/2014,4283967
592,4/23/2014,4296339
593,4/30/2014,4296049
594,5/7/2014,4303143
595,5/14/2014,4336649
596,5/21/2014,4327560
597,5/28/2014,4322654
598,6/4/2014,4330917
599,6/11/2014,4340904
600,6/18/2014,4368168
601,6/25/2014,4368348
602,7/2/2014,4377031
603,7/9/2014,4383401
604,7/16/2014,4398201
605,7/23/2014,4410746
606,7/30/2014,4406637
607,8/6/2014,4410111
608,8/13/2014,4431923
609,8/20/2014,4412924
610,8/27/2014,4413736
611,9/3/2014,4415587
612,9/10/2014,4421408
613,9/17/2014,4449588
614,9/24/2014,4459050
615,10/1/2014,4450260
616,10/8/2014,4455403
617,10/15/2014,4474360
618,10/22/2014,4481616
619,10/29/2014,4486754
620,11/5/2014,4486585
621,11/12/2014,4488895
622,11/19/2014,4492759
623,11/26/2014,4485931
624,12/3/2014,4486190
625,12/10/2014,4488865
626,12/17/2014,4502247
627,12/24/2014,4509462
628,12/31/2014,4497660
629,1/7/2015,4499524
630,1/14/2015,4516077
631,1/21/2015,4512936
632,1/28/2015,4500064
633,2/4/2015,4500348
634,2/11/2015,4501685
635,2/18/2015,4496851
636,2/25/2015,4486725
637,3/4/2015,4487583
638,3/11/2015,4489279
639,3/18/2015,4495888
640,3/25/2015,4480603
641,4/1/2015,4481799
642,4/8/2015,4483419
643,4/15/2015,4485366
644,4/22/2015,4489695
645,4/29/2015,4471499
646,5/6/2015,4472703
647,5/13/2015,4501188
648,5/20/2015,4480384
649,5/27/2015,4463981
650,6/3/2015,4465360
651,6/10/2015,4468005
652,6/17/2015,4487817
653,6/24/2015,4495055
654,7/1/2015,4479130
655,7/8/2015,4481289
656,7/15/2015,4493605
657,7/22/2015,4500503
658,7/29/2015,4485480
659,8/5/2015,4486329
660,8/12/2015,4489250
661,8/19/2015,4487208
662,8/26/2015,4475105
663,9/2/2015,4475886
664,9/9/2015,4478213
665,9/16/2015,4487809
666,9/23/2015,4497484
667,9/30/2015,4484111
668,10/7/2015,4486185
669,10/14/2015,4504704
670,10/21/2015,4501372
671,10/28/2015,4489339
672,11/4/2015,4489702
673,11/11/2015,4492012
674,11/18/2015,4486721
675,11/25/2015,4477088
676,12/2/2015,4478069
677,12/9/2015,4480436
678,12/16/2015,4489593
679,12/23/2015,4496523
680,12/30/2015,4486587
681,1/6/2016,4486606
682,1/13/2016,4501695
683,1/20/2016,4488840
684,1/27/2016,4482349
685,2/3/2016,4483495
686,2/10/2016,4486278
687,2/17/2016,4483629
688,2/24/2016,4489796
689,3/2/2016,4478485
690,3/9/2016,4481083
691,3/16/2016,4486333
692,3/23/2016,4492857
693,3/30/2016,4482840
694,4/6/2016,4484069
695,4/13/2016,4499729
696,4/20/2016,4490131
697,4/27/2016,4474665
698,5/4/2016,4477270
699,5/11/2016,4478411
700,5/18/2016,4473741
701,5/25/2016,4461111
702,6/1/2016,4461393
703,6/8/2016,4463542
704,6/15/2016,4472817
705,6/22/2016,4482009
706,6/29/2016,4466482
707,7/6/2016,4470605
708,7/13/2016,4472202
709,7/20/2016,4480973
710,7/27/2016,4464498
711,8/3/2016,4466793
712,8/10/2016,4468929
713,8/17/2016,4466476
714,8/24/2016,4473840
715,8/31/2016,4457907
716,9/7/2016,4459394
717,9/14/2016,4481635
718,9/21/2016,4473032
719,9/28/2016,4452002
720,10/5/2016,4459407
721,10/12/2016,4457698
722,10/19/2016,4467382
723,10/26/2016,4454326
724,11/2/2016,4453087
725,11/9/2016,4455087
726,11/16/2016,4453633
727,11/23/2016,4465782
728,11/30/2016,4446307
729,12/7/2016,4448618
730,12/14/2016,4470973
731,12/21/2016,4469089
732,12/28/2016,4451451
733,1/4/2017,4453101
734,1/11/2017,4452509
735,1/18/2017,4460758
736,1/25/2017,4452838
737,2/1/2017,4453881
738,2/8/2017,4456236
739,2/15/2017,4454676
740,2/22/2017,4468702
741,3/1/2017,4458018
742,3/8/2017,4459840
743,3/15/2017,4469577
744,3/22/2017,4478236
745,3/29/2017,4469618
746,4/5/2017,4474634
747,4/12/2017,4484492
748,4/19/2017,4479270
749,4/26/2017,4470142
750,5/3/2017,4471246
751,5/10/2017,4473459
752,5/17/2017,4467108
753,5/24/2017,4470852
754,5/31/2017,4459914
755,6/7/2017,4462443
756,6/14/2017,4476269
757,6/21/2017,4474257
758,6/28/2017,4463347
759,7/5/2017,4467272
760,7/12/2017,4466702
761,7/19/2017,4476903
762,7/26/2017,4465284
763,8/2/2017,4466846
764,8/9/2017,4469083
765,8/16/2017,4462871
766,8/23/2017,4463837
767,8/30/2017,4452360
768,9/6/2017,4453474
769,9/13/2017,4471174
770,9/20/2017,4458576
771,9/27/2017,4455661
772,10/4/2017,4460422
773,10/11/2017,4459415
774,10/18/2017,4469723
775,10/25/2017,4461117
776,11/1/2017,4455887
777,11/8/2017,4458552
778,11/15/2017,4448289
779,11/22/2017,4450615
780,11/29/2017,4438592
781,12/6/2017,4437148
782,12/13/2017,4452726
783,12/20/2017,4447470
784,12/27/2017,4448680
785,1/3/2018,4443718
786,1/10/2018,4446062
787,1/17/2018,4439145
788,1/24/2018,4441317
789,1/31/2018,4419225
790,2/7/2018,4420745
791,2/14/2018,4434863
792,2/21/2018,4411660
793,2/28/2018,4393401
794,3/7/2018,4396097
795,3/14/2018,4407258
796,3/21/2018,4401222
797,3/28/2018,4392198
798,4/4/2018,4386104
799,4/11/2018,4383684
800,4/18/2018,4385903
801,4/25/2018,4372886
802,5/2/2018,4356129
803,5/9/2018,4358207
804,5/16/2018,4337609
805,5/23/2018,4337301
806,5/30/2018,4327519
807,6/6/2018,4319191
808,6/13/2018,4324906
809,6/20/2018,4315896
810,6/27/2018,4305491
811,7/4/2018,4289764
812,7/11/2018,4291201
813,7/18/2018,4291615
814,7/25/2018,4277681
815,8/1/2018,4255653
816,8/8/2018,4258030
817,8/15/2018,4228924
818,8/22/2018,4228818
819,8/29/2018,4218914
820,9/5/2018,4208496
821,9/12/2018,4210812
822,9/19/2018,4208059
823,9/26/2018,4192909
824,10/3/2018,4174704
825,10/10/2018,4176906
826,10/17/2018,4175446
827,10/24/2018,4173070
828,10/31/2018,4139731
829,11/7/2018,4141936
830,11/14/2018,4145892
831,11/21/2018,4106198
832,11/28/2018,4097170
833,12/5/2018,4086044
834,12/12/2018,4088314
835,12/19/2018,4084274
836,12/26/2018,4075636
837,1/2/2019,4058378
838,1/9/2019,4056563
839,1/16/2019,4050044
840,1/23/2019,4047052
841,1/30/2019,4039678
842,2/6/2019,4026350
843,2/13/2019,4028431
844,2/20/2019,3981420
845,2/27/2019,3974590
846,3/6/2019,3969134
847,3/13/2019,3971559
848,3/20/2019,3962748
849,3/27/2019,3955617
850,4/3/2019,3935509
851,4/10/2019,3936784
852,4/17/2019,3931827
853,4/24/2019,3928273
854,5/1/2019,3889691
855,5/8/2019,3892216
856,5/15/2019,3864749
857,5/22/2019,3860435
858,5/29/2019,3851444
859,6/5/2019,3847645
860,6/12/2019,3849955
861,6/19/2019,3844016
862,6/26/2019,3826817
863,7/3/2019,3813198
864,7/10/2019,3815038
865,7/17/2019,3808110
866,7/24/2019,3803436
867,7/31/2019,3779102
868,8/7/2019,3781543
869,8/14/2019,3786018
870,8/21/2019,3764866
871,8/28/2019,3759946
872,9/4/2019,3761508
873,9/11/2019,3769673
874,9/18/2019,3844695
875,9/25/2019,3857715
876,10/2/2019,3945831
877,10/9/2019,3949955
878,10/16/2019,3966471
879,10/23/2019,3968700
880,10/30/2019,4019823
881,11/6/2019,4039443
882,11/13/2019,4047882
883,11/20/2019,4030249
884,11/27/2019,4052875
885,12/4/2019,4065696
886,12/11/2019,4095491
887,12/18/2019,4137052
888,12/25/2019,4165591
889,1/1/2020,4173626
890,1/8/2020,4149544
891,1/15/2020,4175850
892,1/22/2020,4145912
893,1/29/2020,4151630
894,2/5/2020,4166707
895,2/12/2020,4182689
896,2/19/2020,4171570
897,2/26/2020,4158637
898,3/4/2020,4241507
899,3/11/2020,4311911
900,3/18/2020,4668212
901,3/25/2020,5254278
902,4/1/2020,5811607
903,4/8/2020,6083141
904,4/15/2020,6367887
905,4/22/2020,6573136
906,4/29/2020,6655929
907,5/6/2020,6721420
908,5/13/2020,6934227
909,5/20/2020,7037258
910,5/27/2020,7097316
911,6/3/2020,7165217
912,6/10/2020,7168936
913,6/17/2020,7094690
914,6/24/2020,7082302
915,7/1/2020,7009040
916,7/8/2020,6920716
917,7/15/2020,6958604
918,7/22/2020,6964755
919,7/29/2020,6949032
920,8/5/2020,6945237
921,8/12/2020,6957277
922,8/19/2020,7010637
923,8/26/2020,6990418
924,9/2/2020,7017492
925,9/9/2020,7010614
926,9/16/2020,7064475
927,9/23/2020,7093161
928,9/30/2020,7056129
929,10/7/2020,7074649
930,10/14/2020,7151426
931,10/21/2020,7177265
932,10/28/2020,7146306
933,11/4/2020,7157479
934,11/11/2020,7175417
